trading_date,signal_date,sector,sentiment,covered_tickers,sector_tickers,coverage_rate,headline_count,headline_hhi,normalised_concentration,reliability,neutral_tickers,neutral_share_covered,missing_ticker_treatment
2020-01-03,2020-01-06,Comm,0.08685714285714285,5,5,1.0,14,0.326530612244898,0.15816326530612246,0.8418367346938775,3,0.6,drop_from_daily_mean_and_report_coverage
2020-01-03,2020-01-06,Consumer,-0.1025132727272727,5,5,1.0,32,0.234375,0.042968749999999986,0.95703125,0,0.0,drop_from_daily_mean_and_report_coverage
2020-01-03,2020-01-06,Energy,0.055450035087719285,5,5,1.0,49,0.2611411911703457,0.07642648896293208,0.923573511037068,0,0.0,drop_from_daily_mean_and_report_coverage
2020-01-03,2020-01-06,Financials,0.09007809523809525,5,5,1.0,20,0.27999999999999997,0.09999999999999995,0.9,2,0.4,drop_from_daily_mean_and_report_coverage
2020-01-03,2020-01-06,Healthcare,0.22046571428571432,5,5,1.0,29,0.22235434007134364,0.027942925089179532,0.9720570749108205,0,0.0,drop_from_daily_mean_and_report_coverage
2020-01-03,2020-01-06,Industrials,-0.01702333333333333,5,5,1.0,20,0.245,0.05624999999999998,0.94375,1,0.2,drop_from_daily_mean_and_report_coverage
2020-01-03,2020-01-06,Materials,0.13148125,4,5,0.8,10,0.30000000000000004,0.06666666666666672,0.7466666666666666,1,0.25,drop_from_daily_mean_and_report_coverage
2020-01-03,2020-01-06,RealEstate,-0.027414999999999995,4,5,0.8,8,0.4375,0.25,0.6000000000000001,1,0.25,drop_from_daily_mean_and_report_coverage
2020-01-03,2020-01-06,Tech,0.08076517857142856,4,5,0.8,42,0.36167800453514737,0.14890400604686316,0.6808767951625095,1,0.25,drop_from_daily_mean_and_report_coverage
2020-01-03,2020-01-06,Utilities,0.18525,2,5,0.4,5,0.6800000000000002,0.3600000000000003,0.2559999999999999,1,0.5,drop_from_daily_mean_and_report_coverage
2020-01-06,2020-01-07,Comm,0.1738097222222222,3,5,0.6,16,0.40625,0.10937500000000001,0.5343749999999999,0,0.0,drop_from_daily_mean_and_report_coverage
2020-01-06,2020-01-07,Consumer,0.10678931372549019,5,5,1.0,44,0.3026859504132231,0.12835743801652885,0.8716425619834711,0,0.0,drop_from_daily_mean_and_report_coverage
2020-01-06,2020-01-07,Energy,0.08543969696969697,5,5,1.0,34,0.23702422145328722,0.04628027681660901,0.9537197231833909,0,0.0,drop_from_daily_mean_and_report_coverage
